min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,12,22,17,37,42,20,523,380,143,0.7266,4046.17,8102.36,4056.19,1.998,21.32,-28.36,7.736,-305.86,-15.29,4,-214.1,3540.05,2.337,506.12,1.36,157,523,403,120,0.7706,8754.09,11621.51,2867.42,4.053,28.84,-23.9,16.738,-199.04,-9.95,4,-178.0,6834.97,4.683,1919.12,2.898,157,94.39,82.77
0.12,"(0.3, 0.6)",True,80,12,22,17,42,47,10,523,381,142,0.7285,5571.98,9624.52,4052.54,2.375,25.26,-28.54,10.654,-293.28,-14.66,4,-214.1,4653.41,2.759,918.57,1.653,157,523,403,120,0.7706,10280.05,13142.42,2862.37,4.591,32.61,-23.85,19.656,-188.92,-9.45,4,-178.0,7948.46,5.294,2331.59,3.305,157,94.94,90.46
0.12,"(0.3, 0.6)",True,80,12,22,17,42,47,15,523,381,142,0.7285,4802.67,8857.73,4055.06,2.184,23.25,-28.56,9.183,-300.82,-15.04,4,-214.1,4079.13,2.54,723.54,1.514,157,523,403,120,0.7706,9510.66,12375.56,2864.9,4.32,30.71,-23.87,18.185,-193.98,-9.7,4,-178.0,7374.11,4.978,2136.55,3.113,157,94.77,88.43
0.12,"(0.3, 0.6)",True,80,12,22,17,42,47,20,523,381,142,0.7285,4015.35,8072.93,4057.59,1.99,21.19,-28.57,7.678,-308.36,-15.42,4,-214.1,3499.39,2.32,515.96,1.367,157,523,403,120,0.7706,8723.25,11590.67,2867.42,4.042,28.76,-23.9,16.679,-199.04,-9.95,4,-178.0,6794.29,4.661,1928.96,2.907,157,94.51,82.68
0.12,"(0.3, 0.6)",True,80,15,25,20,35,40,10,520,365,155,0.7019,5557.25,10312.22,4754.97,2.169,28.25,-30.68,10.687,-276.9,-13.85,5,-214.1,4806.99,2.571,750.25,1.443,156,520,383,137,0.7365,10238.27,13697.14,3458.87,3.96,35.76,-25.25,19.689,-188.92,-9.45,4,-178.0,8084.02,4.605,2154.25,2.771,156,93.84,88.5
0.12,"(0.3, 0.6)",True,80,15,25,20,35,40,15,520,361,159,0.6942,4554.54,9315.99,4761.45,1.957,25.81,-29.95,8.759,-287.47,-14.37,5,-214.1,4049.81,2.32,504.73,1.298,156,520,383,137,0.7365,9235.5,12696.9,3461.4,3.668,33.15,-25.27,17.761,-193.98,-9.7,4,-178.0,7326.77,4.264,1908.73,2.569,156,93.57,83.67
0.12,"(0.3, 0.6)",True,80,15,25,20,35,40,20,520,362,158,0.6962,3580.09,8350.6,4770.52,1.75,23.07,-30.19,6.885,-301.87,-15.09,5,-214.1,3309.91,2.076,270.18,1.159,156,520,383,137,0.7365,8260.98,11724.9,3463.92,3.385,30.61,-25.28,15.887,-199.04,-9.95,4,-178.0,6586.81,3.931,1674.17,2.376,156,93.27,72.09
0.12,"(0.3, 0.6)",True,80,15,25,20,40,45,10,520,362,158,0.6962,5329.44,10094.91,4765.47,2.118,27.89,-30.16,10.249,-273.76,-13.69,5,-214.1,4653.42,2.515,676.02,1.399,156,520,383,137,0.7365,10010.51,13469.38,3458.87,3.894,35.17,-25.25,19.251,-188.92,-9.45,4,-178.0,7930.48,4.536,2080.02,2.71,156,93.66,87.94
0.12,"(0.3, 0.6)",True,80,15,25,20,40,45,15,520,362,158,0.6962,4489.32,9257.31,4767.99,1.942,25.57,-30.18,8.633,-286.3,-14.32,5,-214.1,4012.36,2.305,476.96,1.282,156,520,383,137,0.7365,9170.31,12631.71,3461.4,3.649,32.98,-25.27,17.635,-193.98,-9.7,4,-178.0,7289.36,4.247,1880.95,2.546,156,93.46,82.73
0.12,"(0.3, 0.6)",True,80,15,25,20,40,45,20,520,361,159,0.6942,3658.68,8430.19,4771.51,1.767,23.35,-30.01,7.036,-298.84,-14.94,5,-214.1,3389.4,2.101,269.27,1.159,156,520,383,137,0.7365,8339.57,11803.49,3463.92,3.408,30.82,-25.28,16.038,-199.04,-9.95,4,-178.0,6666.31,3.966,1673.26,2.376,156,93.14,72.72
