id,symbol,side,bar_time,outcome,ema9,slope_pct,body_atr_ratio,detected_at
653,TON,short,"2026-06-11 18:30:00+00:00",detected,,-0.00526178056543047,,2026-06-11T18:45:26.370256+00:00
656,TON,short,"2026-06-11 18:45:00+00:00",fired,,,,2026-06-11T19:00:49.268167+00:00
658,TON,short,"2026-06-11 20:15:00+00:00",detected,,-0.000561882224661581,,2026-06-11T20:30:17.175580+00:00
659,TON,short,"2026-06-11 20:30:00+00:00",fired,,,,2026-06-11T20:46:23.375558+00:00
674,TON,long,"2026-06-12 00:30:00+00:00",detected,,0.0086121574058704,,2026-06-12T00:45:03.974520+00:00
684,TON,long,"2026-06-12 00:45:00+00:00",fired,,,,2026-06-12T01:01:27.758047+00:00
692,TON,long,"2026-06-12 01:15:00+00:00",detected,,0.00807857865452877,,2026-06-12T01:31:14.962730+00:00
693,TON,long,"2026-06-12 01:30:00+00:00",fired,,,,2026-06-12T01:46:05.873566+00:00
705,TON,long,"2026-06-12 06:00:00+00:00",detected,,0.00976341965849037,,2026-06-12T06:16:21.279724+00:00
708,TON,long,"2026-06-12 06:15:00+00:00",fired,,,,2026-06-12T06:31:14.886496+00:00
736,TON,long,"2026-06-12 15:45:00+00:00",detected,,0.00945365448787316,,2026-06-12T16:00:53.573579+00:00
740,TON,long,"2026-06-12 15:45:00+00:00",entry_unfilled,,,,2026-06-12T16:45:05.164998+00:00
744,TON,long,"2026-06-12 18:00:00+00:00",detected,,0.00774445656609912,,2026-06-12T18:16:27.066685+00:00
745,TON,long,"2026-06-12 18:45:00+00:00",fired,,,,2026-06-12T19:01:07.166816+00:00
758,TON,short,"2026-06-13 00:00:00+00:00",detected,,-0.00315356319933868,,2026-06-13T00:15:48.470673+00:00
762,TON,short,"2026-06-13 00:30:00+00:00",fired,,,,2026-06-13T00:45:10.062159+00:00
764,TON,short,"2026-06-13 00:45:00+00:00",detected,,-0.00315298615153536,,2026-06-13T01:01:29.165301+00:00
766,TON,short,"2026-06-13 01:00:00+00:00",fired,,,,2026-06-13T01:16:36.575344+00:00
767,TON,short,"2026-06-13 01:15:00+00:00",detected,,-0.00319239782646363,,2026-06-13T01:30:11.771279+00:00
769,TON,short,"2026-06-13 01:30:00+00:00",fired,,,,2026-06-13T01:45:34.066305+00:00
780,TON,short,"2026-06-13 07:15:00+00:00",detected,,-0.00266737907910808,,2026-06-13T07:31:12.745150+00:00
781,TON,short,"2026-06-13 07:15:00+00:00",entry_unfilled,,,,2026-06-13T08:15:05.337275+00:00
783,TON,short,"2026-06-13 08:15:00+00:00",detected,,-0.00209194584123384,,2026-06-13T08:31:16.744122+00:00
786,TON,short,"2026-06-13 08:15:00+00:00",entry_unfilled,,,,2026-06-13T09:15:07.371004+00:00
824,TON,long,"2026-06-13 22:00:00+00:00",detected,,0.00887321044697087,,2026-06-13T22:16:26.568088+00:00
825,TON,long,"2026-06-13 22:15:00+00:00",fired,,,,2026-06-13T22:31:04.371090+00:00
826,TON,long,"2026-06-13 22:30:00+00:00",detected,,0.00854998160715081,,2026-06-13T22:45:06.863734+00:00
827,TON,long,"2026-06-13 22:45:00+00:00",fired,,,,2026-06-13T23:00:02.800145+00:00
841,TON,long,"2026-06-14 00:45:00+00:00",detected,,0.00543664419108514,,2026-06-14T01:01:17.561114+00:00
844,TON,long,"2026-06-14 01:00:00+00:00",fired,,,,2026-06-14T01:16:04.571715+00:00
856,TON,long,"2026-06-14 03:00:00+00:00",detected,,0.00270256372127098,,2026-06-14T03:16:05.280334+00:00
860,TON,long,"2026-06-14 03:00:00+00:00",entry_unfilled,,,,2026-06-14T04:01:37.380589+00:00
868,TON,long,"2026-06-14 04:45:00+00:00",detected,,0.00133813258819471,,2026-06-14T05:00:55.570568+00:00
871,TON,long,"2026-06-14 05:15:00+00:00",fired,,,,2026-06-14T05:30:20.175451+00:00
901,TON,long,"2026-06-14 14:30:00+00:00",detected,,0.00336373767482323,,2026-06-14T14:46:20.075502+00:00
905,TON,long,"2026-06-14 14:30:00+00:00",entry_unfilled,,,,2026-06-14T15:31:43.879176+00:00
911,TON,long,"2026-06-14 16:45:00+00:00",detected,,0.00327127901107604,,2026-06-14T17:01:41.273163+00:00
915,TON,long,"2026-06-14 17:30:00+00:00",fired,,,,2026-06-14T17:46:29.068376+00:00
917,TON,long,"2026-06-14 17:45:00+00:00",detected,,0.00243367619978874,,2026-06-14T18:00:56.470162+00:00
918,TON,long,"2026-06-14 18:00:00+00:00",fired,,,,2026-06-14T18:16:15.563018+00:00
921,TON,long,"2026-06-14 18:30:00+00:00",detected,,0.00137323148451474,,2026-06-14T18:45:04.304750+00:00
1,WLD,long,"2026-06-04 21:15:00+00:00",detected,,0.0137810434439927,,2026-06-04T21:30:22.165026+00:00
2,WLD,long,"2026-06-04 21:30:00+00:00",fired,,,,2026-06-04T21:45:17.681442+00:00
21,WLD,long,"2026-06-05 02:45:00+00:00",detected,,0.00595951247341098,,2026-06-05T03:00:46.571320+00:00
22,WLD,long,"2026-06-05 03:00:00+00:00",fired,,,,2026-06-05T03:16:09.572636+00:00
41,WLD,long,"2026-06-05 14:45:00+00:00",detected,,0.00381089688356218,,2026-06-05T15:00:47.766222+00:00
44,WLD,long,"2026-06-05 15:00:00+00:00",fired,,,,2026-06-05T15:15:56.666543+00:00
45,WLD,long,"2026-06-05 15:15:00+00:00",detected,,0.002444187705402,,2026-06-05T15:30:27.573528+00:00
46,WLD,long,"2026-06-05 15:15:00+00:00",entry_unfilled,,,,2026-06-05T16:15:48.476933+00:00
85,WLD,long,"2026-06-06 01:00:00+00:00",detected,,0.00214234927469925,,2026-06-06T01:16:17.865069+00:00
86,WLD,long,"2026-06-06 01:15:00+00:00",fired,,,,2026-06-06T01:30:03.070262+00:00
89,WLD,long,"2026-06-06 02:15:00+00:00",detected,,0.00130019301673168,,2026-06-06T02:31:11.370226+00:00
90,WLD,long,"2026-06-06 02:30:00+00:00",fired,,,,2026-06-06T02:46:25.866147+00:00
133,WLD,short,"2026-06-06 18:15:00+00:00",detected,,-0.0135539391945629,,2026-06-06T18:30:09.288293+00:00
134,WLD,short,"2026-06-06 18:15:00+00:00",entry_unfilled,,,,2026-06-06T19:16:07.865383+00:00
135,WLD,short,"2026-06-06 19:15:00+00:00",detected,,-0.013198670059715,,2026-06-06T19:30:26.357135+00:00
136,WLD,short,"2026-06-06 19:15:00+00:00",entry_unfilled,,,,2026-06-06T20:16:02.973049+00:00
139,WLD,short,"2026-06-06 21:30:00+00:00",detected,,-0.0117547702019431,,2026-06-06T21:45:05.378895+00:00
140,WLD,short,"2026-06-06 21:30:00+00:00",entry_unfilled,,,,2026-06-06T22:30:31.173948+00:00
157,WLD,short,"2026-06-07 00:00:00+00:00",detected,,-0.00966708129051819,,2026-06-07T00:16:17.766506+00:00
161,WLD,short,"2026-06-07 00:15:00+00:00",fired,,,,2026-06-07T00:31:06.564535+00:00
31,XRP,short,"2026-06-05 07:15:00+00:00",detected,,-0.0118471632336501,,2026-06-05T07:30:20.878119+00:00
32,XRP,short,"2026-06-05 07:30:00+00:00",fired,,,,2026-06-05T07:46:11.967024+00:00
36,XRP,short,"2026-06-05 09:00:00+00:00",detected,,-0.0116698891700033,,2026-06-05T09:15:31.284009+00:00
39,XRP,short,"2026-06-05 09:00:00+00:00",entry_unfilled,,,,2026-06-05T10:01:20.270568+00:00
63,XRP,short,"2026-06-05 20:45:00+00:00",detected,,-0.0115520065742167,,2026-06-05T21:00:33.169905+00:00
65,XRP,short,"2026-06-05 21:00:00+00:00",fired,,,,2026-06-05T21:15:42.459171+00:00
96,XRP,short,"2026-06-06 06:00:00+00:00",detected,,-0.0110513891520914,,2026-06-06T06:15:42.773926+00:00
98,XRP,short,"2026-06-06 06:15:00+00:00",fired,,,,2026-06-06T06:30:23.468696+00:00
116,XRP,short,"2026-06-06 08:15:00+00:00",detected,,-0.0104777198709918,,2026-06-06T08:30:37.937887+00:00
124,XRP,short,"2026-06-06 08:15:00+00:00",entry_unfilled,,,,2026-06-06T09:16:07.505570+00:00
127,XRP,short,"2026-06-06 14:00:00+00:00",detected,,-0.00727628440612471,,2026-06-06T14:15:52.363149+00:00
129,XRP,short,"2026-06-06 14:15:00+00:00",fired,,,,2026-06-06T14:30:10.487560+00:00
144,XRP,short,"2026-06-06 23:30:00+00:00",detected,,-0.00578890791064968,,2026-06-06T23:45:06.272893+00:00
