id,symbol,side,entry_price,exit_price,initial_sl,initial_tp,margin_usdt,leverage,base_amount,notional,exit_reason,pnl_usdt,pnl_pct_account,duration_secs,max_state,opened_at,closed_at,bar_time_open,slope_pct,body_atr_ratio,adx_at_entry
276,TON,long,1.70020348222195,1.67511393138149,1.67727133999759,1.70023146853662,500.0,10.0,2961.3,5034.81257190388,sl,-74.2976869038747,-1.23829478173125,1570,0,2026-06-12T01:01:27.758047+00:00,2026-06-12T01:27:38.463397+00:00,"2026-06-12 00:45:00+00:00",,,0.0
282,TON,long,1.67206399706328,1.70404250264172,1.6481759735695,1.67657642815486,500.0,10.0,2933.7,4905.33414818454,tp,93.8153418154611,1.56358903025769,0,1,2026-06-12T01:46:05.873566+00:00,2026-06-12T01:46:06.866156+00:00,"2026-06-12 01:30:00+00:00",,,0.0
288,TON,long,1.69356108857094,1.70194961163074,1.66204979713844,1.70112277798463,500.0,10.0,2950.8,4997.36006015512,tp,24.7528538448774,0.412547564081291,8503,1,2026-06-12T06:31:14.886496+00:00,2026-06-12T08:52:58.466546+00:00,"2026-06-12 06:15:00+00:00",,,0.0
302,TON,long,1.69087835724625,1.6616559763054,1.65838521521623,1.70072296888536,500.0,10.0,2962.7,5009.56530901346,time,-86.5771480134578,-1.44295246689096,10786,0,2026-06-12T19:01:07.166816+00:00,2026-06-12T22:00:54.051314+00:00,"2026-06-12 18:45:00+00:00",,,0.0
308,TON,short,1.68048951958949,1.67381,1.70168567630538,1.67918066371264,500.0,10.0,2987.5,5020.46243977359,tp,19.9550647735907,0.332584412893178,2,1,2026-06-13T00:45:10.062159+00:00,2026-06-13T00:45:12.567983+00:00,"2026-06-13 00:30:00+00:00",,,0.0
309,TON,short,1.68529798088123,1.68282167654188,1.70496182793109,1.68301195692652,500.0,10.0,2970.4,5006.00912240961,tp,7.35561440961342,0.122593573493557,28,1,2026-06-13T01:16:36.575344+00:00,2026-06-13T01:17:05.565485+00:00,"2026-06-13 01:00:00+00:00",,,0.0
310,TON,short,1.68286583555576,1.68080518249899,1.70139252000181,1.68160779466966,500.0,10.0,2964.4,4988.68748292148,tp,6.10859992148488,0.101809998691415,925,1,2026-06-13T01:45:34.066305+00:00,2026-06-13T02:00:59.164260+00:00,"2026-06-13 01:30:00+00:00",,,0.0
325,TON,long,1.72416667609884,1.72525764732282,1.70158008488954,1.72578224878856,500.0,10.0,2896.7,4994.3936106555,tp,3.16021634449562,0.0526702724082604,4,1,2026-06-13T22:31:04.371090+00:00,2026-06-13T22:31:09.275549+00:00,"2026-06-13 22:15:00+00:00",,,0.0
326,TON,long,1.72346153449339,1.72471,1.70243381044047,1.72481192716888,500.0,10.0,2910.3,5015.7901038361,tp,3.63340916390084,0.0605568193983473,4600,1,2026-06-13T23:00:02.800145+00:00,2026-06-14T00:16:42.970911+00:00,"2026-06-13 22:45:00+00:00",,,0.0
334,TON,long,1.7134059706389,1.71835596497265,1.69305373575008,1.7165855037381,500.0,10.0,2906.3,4979.67177246783,tp,14.3861685321708,0.23976947553618,1,1,2026-06-14T01:16:04.571715+00:00,2026-06-14T01:16:05.780603+00:00,"2026-06-14 01:00:00+00:00",,,0.0
343,TON,long,1.69256878145084,1.69806109351789,1.67703903305752,1.69865542664159,500.0,10.0,2962.0,5013.38873065737,tp,16.2682283426252,0.271137139043754,622,1,2026-06-14T05:30:20.175451+00:00,2026-06-14T05:40:43.065995+00:00,"2026-06-14 05:15:00+00:00",,,0.0
358,TON,long,1.71207175807967,1.67972,1.68624582271701,1.714425760848,500.0,10.0,2920.1,4999.42074076844,sl,-94.4703687684397,-1.57450614614066,715,0,2026-06-14T17:46:29.068376+00:00,2026-06-14T17:58:24.861690+00:00,"2026-06-14 17:30:00+00:00",,,0.0
359,TON,long,1.68056523271588,1.69119526644393,1.65300709444296,1.6918357570493,500.0,10.0,2963.1,4979.68284106044,tp,31.497852939564,0.524964215659401,1002,1,2026-06-14T18:16:15.563018+00:00,2026-06-14T18:32:57.572117+00:00,"2026-06-14 18:00:00+00:00",,,0.0
1,WLD,long,0.521407972537505,0.528406361784349,0.483711752837548,0.529626263824329,500.0,10.0,9522.8,4965.26384088016,tp,66.6442611198454,1.11073768533076,3257,1,2026-06-04T21:45:17.681442+00:00,2026-06-04T22:39:34.871169+00:00,"2026-06-04 21:30:00+00:00",,,0.0
9,WLD,long,0.486712797558518,0.50382583089752,0.450335178026659,0.499542440866971,500.0,10.0,10229.3,4978.73122006534,tp,175.054351934654,2.91757253224424,510,1,2026-06-05T03:16:09.572636+00:00,2026-06-05T03:24:39.673706+00:00,"2026-06-05 03:00:00+00:00",,,0.0
16,WLD,long,0.495865882275737,0.505385140306122,0.461752940481635,0.505222425697373,500.0,10.0,10427.2,5170.49272766557,tp,99.259207334434,1.65432012224057,687,1,2026-06-05T15:15:56.666543+00:00,2026-06-05T15:27:24.173212+00:00,"2026-06-05 15:00:00+00:00",,,0.0
31,WLD,long,0.491109185781101,0.501624757059196,0.461022672029912,0.498346349155288,500.0,10.0,9955.1,4889.04105536944,tp,104.683563630558,1.7447260605093,0,1,2026-06-06T01:30:03.070262+00:00,2026-06-06T01:30:03.268788+00:00,"2026-06-06 01:15:00+00:00",,,0.0
32,WLD,long,0.485569010496412,0.453641192548481,0.455481094467711,0.493401135828135,500.0,10.0,10478.4,5087.98631958561,sl,-334.552447585606,-5.57587412642677,701,0,2026-06-06T02:46:25.866147+00:00,2026-06-06T02:58:06.981344+00:00,"2026-06-06 02:30:00+00:00",,,0.0
56,WLD,short,0.417522307616475,0.498958747122404,0.429220768548272,0.416907615331532,500.0,10.0,11685.1,4878.78991672927,sl,-951.592939270732,-15.8598823211789,228255,0,2026-06-07T00:31:06.564535+00:00,2026-06-09T15:55:21.765721+00:00,"2026-06-07 00:15:00+00:00",,,0.0
13,XRP,short,1.12417938724324,1.121902,1.14683048518919,1.12183618369964,500.0,10.0,4409.0,4956.50691835546,tp,10.0410003554608,0.167350005924347,3133,1,2026-06-05T07:46:11.967024+00:00,2026-06-05T08:38:25.674788+00:00,"2026-06-05 07:30:00+00:00",,,0.0
25,XRP,short,1.11766247620231,1.11658094998884,1.14133828582074,1.11653106293235,500.0,10.0,4479.0,5006.01023091012,tp,4.84415591012426,0.0807359318354043,1,1,2026-06-05T21:15:42.459171+00:00,2026-06-05T21:15:43.562330+00:00,"2026-06-05 21:00:00+00:00",,,0.0
35,XRP,short,1.09823732555414,1.09489503949967,1.11939992998724,1.09475827296523,500.0,10.0,4557.0,5004.66749255021,tp,15.2307975502069,0.253846625836782,517,1,2026-06-06T06:30:23.468696+00:00,2026-06-06T06:39:00.666089+00:00,"2026-06-06 06:15:00+00:00",,,0.0
46,XRP,short,1.10560886377488,1.0983199497576,1.11920777397395,1.10022222391587,500.0,10.0,4538.0,5017.25302381042,tp,33.0770918104219,0.551284863507031,1932,1,2026-06-06T14:30:10.487560+00:00,2026-06-06T15:02:22.988432+00:00,"2026-06-06 14:15:00+00:00",,,0.0
68,XRP,short,1.10361706910609,1.11515318712408,1.11392162195478,1.10071384480584,500.0,10.0,4489.0,4954.13702321722,sl,-51.7856337827762,-0.863093896379604,1,0,2026-06-07T01:31:26.041293+00:00,2026-06-07T01:31:27.840460+00:00,"2026-06-07 01:15:00+00:00",,,0.0
70,XRP,short,1.11554597157617,1.11312225624442,1.1268737441855,1.11327822373137,500.0,10.0,4484.0,5002.10813654753,tp,10.8679395475307,0.181132325792178,992,1,2026-06-07T02:00:06.662913+00:00,2026-06-07T02:16:38.871420+00:00,"2026-06-07 01:45:00+00:00",,,0.0
73,XRP,short,1.1194579772745,1.116125,1.13149779547048,1.11613772797112,500.0,10.0,4467.0,5000.61878448518,tp,14.888409485182,0.248140158086367,1526,1,2026-06-07T03:15:12.367890+00:00,2026-06-07T03:40:38.869055+00:00,"2026-06-07 03:00:00+00:00",,,0.0
94,XRP,long,1.1193082238494,1.122339,1.10543001464462,1.11944787658136,500.0,10.0,4454.0,4985.39882902524,tp,13.499076974762,0.224984616246033,1,1,2026-06-07T12:46:05.363369+00:00,2026-06-07T12:46:07.176638+00:00,"2026-06-07 12:30:00+00:00",,,0.0
106,XRP,long,1.12036796788628,1.12679184525152,1.10851171097654,1.12168711456866,500.0,10.0,4433.0,4966.59120163989,tp,28.4770483601093,0.474617472668488,2,1,2026-06-07T20:15:07.767414+00:00,2026-06-07T20:15:09.974103+00:00,"2026-06-07 20:00:00+00:00",,,0.0
134,XRP,long,1.16449774266425,1.15154605017341,1.15306368397823,1.16529761986497,500.0,10.0,4325.0,5036.45273702287,sl,-56.0160700228722,-0.93360116704787,1087,0,2026-06-09T00:31:20.579055+00:00,2026-06-09T00:49:27.872003+00:00,"2026-06-09 00:15:00+00:00",,,0.0
139,XRP,long,1.14926593083445,1.15209734427358,1.13740937751009,1.15172909781177,500.0,10.0,4357.0,5007.35166064572,tp,12.3364683542829,0.205607805904716,1740,1,2026-06-09T02:31:11.166477+00:00,2026-06-09T03:00:11.670822+00:00,"2026-06-09 02:15:00+00:00",,,0.0
153,XRP,long,1.15620913985027,1.159422,1.14705025865243,1.15832218591146,500.0,10.0,4326.0,5001.76073899227,tp,13.8988330077295,0.231647216795492,5521,1,2026-06-09T10:31:30.869933+00:00,2026-06-09T12:03:32.799827+00:00,"2026-06-09 10:15:00+00:00",,,0.0
164,XRP,long,1.14845953980655,1.13769232908512,1.13846385825898,1.15216876272521,500.0,10.0,4394.0,5046.33121791,sl,-47.3111239099978,-0.788518731833297,0,0,2026-06-09T14:30:32.780032+00:00,2026-06-09T14:30:33.298619+00:00,"2026-06-09 14:15:00+00:00",,,0.0
168,XRP,long,1.13188018100667,1.13972706430357,1.12068162906004,1.13956024699142,500.0,10.0,4401.0,4981.40467661036,tp,34.5341333896387,0.575568889827312,474,1,2026-06-09T15:00:53.071951+00:00,2026-06-09T15:08:47.974011+00:00,"2026-06-09 14:45:00+00:00",,,0.0
185,XRP,short,1.11731100834456,1.11669909912927,1.12563107510101,1.11681999597815,500.0,10.0,4479.0,5004.43600637527,tp,2.74074137526738,0.0456790229211231,1,1,2026-06-10T07:46:23.480199+00:00,2026-06-10T07:46:24.577990+00:00,"2026-06-10 07:30:00+00:00",,,0.0
191,XRP,short,1.11947774929831,1.116915,1.12937174368475,1.11765535126947,500.0,10.0,4477.0,5011.90188360851,tp,11.4734286085131,0.191223810141885,3,1,2026-06-10T13:00:01.554019+00:00,2026-06-10T13:00:05.006338+00:00,"2026-06-10 12:45:00+00:00",,,0.0
200,XRP,short,1.11710947005823,1.12757655920018,1.12642523052409,1.11603634201719,500.0,10.0,4451.0,4972.25425122919,sl,-46.5890137708058,-0.776483562846764,360,0,2026-06-10T13:31:13.271111+00:00,2026-06-10T13:37:13.874617+00:00,"2026-06-10 13:15:00+00:00",,,0.0
218,XRP,short,1.0995544676834,1.09871,1.10992620915056,1.09884932737838,500.0,10.0,4539.0,4990.87772881493,tp,3.83303881493379,0.0638839802488965,387,1,2026-06-11T00:30:29.155829+00:00,2026-06-11T00:36:56.560597+00:00,"2026-06-11 00:15:00+00:00",,,0.0
221,XRP,short,1.09967143259436,1.11096048315349,1.10966689334921,1.09951056902375,500.0,10.0,4541.0,4993.60797541097,sl,-51.2635785890259,-0.854392976483765,2426,0,2026-06-11T01:00:19.279890+00:00,2026-06-11T01:40:45.549549+00:00,"2026-06-11 00:45:00+00:00",,,0.0
230,XRP,short,1.11727527814133,1.113732,1.12770950327199,1.11381172089432,500.0,10.0,4488.0,5014.3314482983,tp,15.9022322983002,0.26503720497167,30,1,2026-06-11T02:00:40.036740+00:00,2026-06-11T02:01:10.426089+00:00,"2026-06-11 01:45:00+00:00",,,0.0
232,XRP,short,1.11268906125452,1.106508,1.12304955129065,1.1107825424413,500.0,10.0,4517.0,5026.01648968665,tp,27.9198536866493,0.465330894777488,0,1,2026-06-11T02:30:40.074804+00:00,2026-06-11T02:30:40.685054+00:00,"2026-06-11 02:15:00+00:00",,,0.0
