sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
65.0,0.12,"(0.3, 0.6)",True,506,307,199,0.6067,2610.14,10185.42,7575.28,1.345,33.18,-38.07,5.158,-556.2,-27.81,9,-316.45,1959.08,1.364,651.06,1.297,152,506,307,199,0.6067,7165.5,12949.75,5784.25,2.239,42.18,-29.07,14.161,-385.37,-19.27,9,-235.5,5145.76,2.242,2019.74,2.232,152,98.25,69.45
65.0,0.12,"(0.3, 0.6)",False,579,347,232,0.5993,2514.47,11575.34,9060.87,1.278,33.36,-39.06,4.343,-825.3,-41.26,9,-381.42,2147.81,1.343,366.66,1.131,174,579,347,232,0.5993,7726.7,14699.45,6972.75,2.108,42.36,-30.05,13.345,-573.37,-28.67,9,-300.5,5793.37,2.201,1933.33,1.9,174,95.94,59.57
65.0,0.15,None,True,394,246,148,0.6244,3282.46,8660.79,5378.32,1.61,35.21,-36.34,8.331,-436.1,-21.8,6,-262.54,2700.46,1.74,582.01,1.337,119,394,246,148,0.6244,6829.64,10875.64,4046.0,2.688,44.21,-27.34,17.334,-217.5,-10.88,6,-217.5,5176.22,2.864,1653.43,2.302,119,95.82,74.1
65.0,0.15,None,False,448,276,172,0.6161,3159.29,9641.71,6482.41,1.487,34.93,-37.69,7.052,-616.92,-30.85,6,-262.54,2626.6,1.597,532.7,1.256,135,448,276,172,0.6161,7192.49,12126.49,4934.0,2.458,43.94,-28.69,16.055,-325.71,-16.29,6,-217.5,5444.28,2.614,1748.21,2.12,135,95.75,69.82
65.0,0.15,"(0.3, 0.5)",True,337,215,122,0.638,3516.19,7763.44,4247.25,1.828,36.11,-34.81,10.434,-344.8,-17.24,7,-262.45,2791.18,1.98,725.01,1.518,102,337,215,122,0.638,6550.39,9699.39,3149.0,3.08,45.11,-25.81,19.437,-217.5,-10.88,7,-217.5,4906.92,3.315,1643.46,2.596,102,96.39,81.91
65.0,0.15,"(0.3, 0.5)",False,384,244,140,0.6354,3601.5,8676.88,5075.38,1.71,35.56,-36.25,9.379,-545.89,-27.29,7,-262.45,2908.8,1.859,692.71,1.41,116,384,244,140,0.6354,7058.68,10873.68,3815.0,2.85,44.56,-27.25,18.382,-356.87,-17.84,7,-217.5,5321.42,3.079,1737.25,2.383,116,95.9,78.51
65.0,0.15,"(0.2, 0.5)",True,301,198,103,0.6578,3701.46,7302.05,3600.59,2.028,36.88,-34.96,12.297,-368.78,-18.44,7,-262.45,3085.84,2.337,615.62,1.476,91,301,198,103,0.6578,6411.38,9084.88,2673.5,3.398,45.88,-25.96,21.3,-242.87,-12.14,7,-217.5,4976.39,3.889,1434.99,2.509,91,94.54,83.6
65.0,0.15,"(0.2, 0.5)",False,347,227,120,0.6542,3865.32,8215.49,4350.17,1.889,36.19,-36.25,11.139,-569.87,-28.49,7,-262.45,3156.46,2.109,708.86,1.471,105,347,227,120,0.6542,6989.17,10259.17,3270.0,3.137,45.19,-27.25,20.142,-389.87,-19.49,7,-217.5,5334.92,3.468,1654.25,2.493,105,95.22,82.86
65.0,0.15,"(0.3, 0.6)",True,319,205,114,0.6426,3507.98,7452.19,3944.21,1.889,36.35,-34.6,10.997,-344.8,-17.24,7,-224.5,2647.0,1.97,860.97,1.709,96,319,205,114,0.6426,6380.13,9298.13,2918.0,3.186,45.36,-25.6,20.0,-209.87,-10.49,7,-161.5,4654.66,3.286,1725.46,2.957,96,97.7,85.7
65.0,0.15,"(0.3, 0.6)",False,362,231,131,0.6381,3494.18,8253.02,4758.84,1.734,35.73,-36.33,9.652,-545.89,-27.29,6,-211.0,2819.53,1.902,674.65,1.413,109,362,231,131,0.6381,6753.34,10332.84,3579.5,2.887,44.73,-27.32,18.656,-356.87,-17.84,6,-157.0,5097.09,3.177,1656.25,2.338,109,95.82,78.46
