family,coin,oos_pass,oos_n,oos_pf,oos_wr,oos_payoff,oos_net,oos_calmar,oos_sharpe,oos_dd,oos_liq,bf_pf,bf_net,bf_dd,is_pf,is_net,params,reasons
vwap_reclaim,SOL,False,260,0.661768238688223,42.30769230769231,0.9024112345748494,-35.684202629984284,-5.48832544453573,-6.405047368268369,39.787705482715936,0,0.39175073471360433,-85.13687707209438,87.68623531166374,0.675511571335472,-79.58688653663947,"{'atr_p': 14, 'entry': 'market', 'sl_atr': 2.9987248977272056, 'tp_atr': 3.166151285532323, 'buf_atr': 0.457824564296972, 'max_bars': 12}",DD 39.8%>25.0%; PF 0.66<1.3; Sharpe -6.41<1.0
vwap_reclaim,ETH,False,266,0.6597382597480185,36.09022556390977,1.168286501637116,-55.45733014302224,-5.836313794807882,-6.581433774470036,58.12070429746362,0,0.40899966698384566,-128.03326463985562,128.18135390197432,0.7040202770113618,-101.08549036324142,"{'atr_p': 14, 'entry': 'market', 'sl_atr': 2.7412560023038792, 'tp_atr': 4.193016853107951, 'buf_atr': 0.3436255660438629, 'max_bars': 30}",DD 58.1%>25.0%; PF 0.66<1.3; Sharpe -6.58<1.0
vwap_reclaim,BTC,False,218,0.7287906079264101,39.44954128440367,1.1186088400730947,-37.70839400478193,-5.399748891925259,-5.898145857226677,42.749293789291656,0,0.4342272382818681,-106.55981625811141,107.39779158857807,0.6607934136846584,-112.58322391119961,"{'atr_p': 14, 'entry': 'market', 'sl_atr': 2.9115377254566233, 'tp_atr': 3.848447815579632, 'buf_atr': 0.47276011663919715, 'max_bars': 48}",DD 42.7%>25.0%; PF 0.73<1.3; Sharpe -5.90<1.0
vwap_reclaim,HYPE,False,226,0.8287675463438257,42.47787610619469,1.1222893856739307,-19.460987408406076,-3.546229520273867,-2.489918708421679,33.56669447947991,0,0.6508299533676656,-45.831484424491,56.45191052064511,0.9984323534161523,-0.39448978849124144,"{'atr_p': 14, 'entry': 'market', 'sl_atr': 2.960655427175924, 'tp_atr': 4.665357547947822, 'buf_atr': 0.37577265443942703, 'max_bars': 28}",DD 33.6%>25.0%; PF 0.83<1.3; Sharpe -2.49<1.0
vwap_reclaim,ZEC,False,210,0.8803851205446508,38.57142857142858,1.4020948216081472,-14.71679829790026,-5.04209271286277,-1.9516875544250205,18.001816781278592,1,0.7624663567881808,-32.01518904608624,34.01008344114758,1.1338132819015847,33.45435137613556,"{'atr_p': 14, 'entry': 'market', 'sl_atr': 2.6650324256151405, 'tp_atr': 4.713310861151454, 'buf_atr': 0.3712663754324112, 'max_bars': 46}",PF 0.88<1.3; 1 liquidation breach(es); Sharpe -1.95<1.0
squeeze_expansion,SOL,False,27,1.431517029366183,55.55555555555556,1.1452136234929464,3.9950675958649255,8.74822449683444,1.8555316960644193,2.9209213042782154,0,0.8183467135727566,-2.3764969077431193,6.9926868418165675,0.8963627941689073,-4.477486561832498,"{'atr_p': 14, 'entry': 'market', 'bb_len': 20, 'bb_mult': 2.0, 'kc_mult': 1.0, 'sl_atr': 2.9826947019223176, 'tp_atr': 5.4480311402708255, 'min_squeeze': 6, 'max_bars': 24, 'trail': False}",trades 27<30
squeeze_expansion,ETH,False,11,0.7572734515782872,45.45454545454545,0.9087281418939446,-1.2971631325279132,-2.637166670611405,-0.9097823884784031,3.229617121465082,0,0.4414928831815081,-4.049769919013966,5.369541295464387,1.1455041376396675,2.245216524004024,"{'atr_p': 14, 'entry': 'market', 'bb_len': 20, 'bb_mult': 2.0, 'kc_mult': 1.0, 'sl_atr': 2.8871093939143377, 'tp_atr': 5.370795375224231, 'min_squeeze': 10, 'max_bars': 24, 'trail': False}",trades 11<30; PF 0.76<1.3; Sharpe -0.91<1.0
squeeze_expansion,BTC,False,17,0.16957789488503822,17.647058823529413,0.7913635094635116,-13.508255259584567,-6.374772589448152,-9.41542974405126,13.508255259584564,0,0.07478383073244568,-21.526246377123478,21.52624637712348,1.0784642587215183,2.3614869776888447,"{'atr_p': 14, 'entry': 'market', 'bb_len': 30, 'bb_mult': 2.5, 'kc_mult': 1.5, 'sl_atr': 2.456838325878731, 'tp_atr': 5.881519219607219, 'min_squeeze': 5, 'max_bars': 96, 'trail': True}",trades 17<30; PF 0.17<1.3; Sharpe -9.42<1.0
squeeze_expansion,HYPE,False,15,0.7666757312057413,20.0,3.0667029248229656,-3.1528639102540406,-3.2829360982093294,-0.9529808488876688,6.013525925823433,0,0.5797410897320375,-7.182957706129933,9.179218557927049,1.2288578838099922,5.13813364042012,"{'atr_p': 14, 'entry': 'market', 'bb_len': 20, 'bb_mult': 2.0, 'kc_mult': 1.0, 'sl_atr': 1.6172682029226613, 'tp_atr': 5.589766929284471, 'min_squeeze': 7, 'max_bars': 48, 'trail': False}",trades 15<30; PF 0.77<1.3; Sharpe -0.95<1.0
squeeze_expansion,ZEC,False,25,0.41339832643174684,36.0,0.7349303581008833,-7.859462395666671,-6.319966331990619,-4.9579104966479655,7.859462395666673,0,0.3439277541756075,-9.63330674640717,9.633306746407175,1.3399070685661907,5.648105984949038,"{'atr_p': 14, 'entry': 'market', 'bb_len': 20, 'bb_mult': 2.0, 'kc_mult': 1.0, 'sl_atr': 2.985340265914285, 'tp_atr': 2.2434580980661867, 'min_squeeze': 8, 'max_bars': 24, 'trail': False}",trades 25<30; PF 0.41<1.3; Sharpe -4.96<1.0
