family,coin,tf,n,pf,wr,payoff,net_pct,calmar,sharpe,maxdd,liq
rsi_snapback,ETH,3m,1284,0.5424782699284734,39.56386292834891,0.8286675934340461,-417.0304727140168,-3.04526176736425,-2.1613372953417,417.03047271401675,0
stoch_snapback,ETH,3m,3588,0.4965177096248138,38.684503901895205,0.786987724189186,-1370.596474642914,-3.301412550263288,-2.6185558947400027,1263.1345867681598,0
vwap_revert,ETH,3m,2896,0.4596873587664181,36.222375690607734,0.8093827947012148,-1224.0177877033148,-3.0718980494196613,1.4771922309792094,1214.0163335507823,0
vwap_reclaim,ETH,3m,1317,0.478377896947636,32.042520880789674,1.0145692364173795,-591.4450808454804,-3.043516025362633,-0.36977501564365234,591.4450808454806,0
wick_fade,ETH,3m,1169,0.4503654840254054,43.028229255774164,0.5963089708964612,-431.7867704125476,-3.0438332841084805,-1.9173105962987633,431.7867704125474,0
atr_climax_fade,ETH,3m,2186,0.3735198420050123,25.663311985361393,1.081942501351417,-1379.9922848124265,-3.0365100590873966,-4.991852130179332,1382.9840643069354,0
micro_pullback,ETH,3m,1890,0.3913691498136599,21.48148148148148,1.43052172000855,-1225.7308820727467,-3.044097716926715,-2.9642117419412277,1225.7308820727453,0
orb_fade,ETH,3m,1685,0.30589497436909135,34.54005934718101,0.5797287916307693,-1096.8302545138567,-3.0580185715283124,-4.421263195493939,1096.8302545138563,0
range_fade,ETH,3m,1726,0.7266906571073216,33.83545770567787,1.4210286479735637,-389.09630375914503,-3.063673207364176,0.5155939925349394,386.9059431866841,0
failed_breakout,ETH,3m,3576,0.4082821628644832,21.97986577181208,1.4492458452823258,-2262.420077253222,-3.3159918482829784,-2.499636620782295,2076.4082802605785,0
sweep_reversal,ETH,3m,2708,0.5276614988225488,37.370753323485964,0.884302274706564,-963.8083696370485,-3.136649952725028,-3.8028903047156355,935.1258338983259,0
squeeze_expansion,ETH,3m,864,0.5267559532292988,25.23148148148148,1.5609373659914083,-379.46205233446994,-3.050776624643033,-5.036985071731551,379.4620523344698,0
reclaim_pullback,ETH,3m,2001,0.5099169768429855,25.287356321839084,1.506572886127003,-927.3137710251376,-3.473797783417079,-3.418598737880946,813.6960078598696,0
mr_fade2,ETH,3m,1378,0.8006166230359714,43.90420899854862,1.0229366109203402,-179.09829854538148,-2.9983045370158843,-0.9664445670064927,182.07093232789305,1
donchian_breakout,ETH,3m,1953,0.5518492771746166,25.755248335893498,1.5908179958314,-816.1346362909029,-3.1231799202956387,-2.4781899522604887,796.493338693182,0
regime_mr,ETH,5m,2856,1.0405758428805627,84.55882352941177,0.190018197395581,19.04456647827748,1.7787881596446726,1.1947556877749133,19.63203964875837,0
bb_revert,ETH,5m,3206,0.5990341137673372,35.18402994385527,1.1035397946884102,-973.3959354688866,-2.0344554637412724,-3.6316474843331026,873.5903607751256,0
kc_revert,ETH,5m,2216,0.6268133435969117,33.12274368231047,1.2655822550553448,-633.4219998094828,-2.0627060165812847,-2.9213040551954554,560.6990796269451,1
rsi_snapback,ETH,5m,1263,0.6428590948440629,43.23040380047506,0.8441940860864343,-288.1187136728627,-1.890612246223746,-0.6232576971758832,278.22604184918896,0
stoch_snapback,ETH,5m,3440,0.5593122859360021,40.406976744186046,0.8248850260207226,-1055.5399499976766,-1.9231188847380403,-3.1946033843121606,1001.9986802926726,0
vwap_revert,ETH,5m,2869,0.5821185830813358,42.9766469153015,0.7723811856618535,-792.7166247699605,-1.9073709484571473,-1.939595167234854,759.286791814859,0
vwap_reclaim,ETH,5m,1606,0.5316069470237184,33.00124533001245,1.0792624056556999,-596.0673493671359,-1.8553665604540464,-1.5704556141016779,587.0760089235281,0
wick_fade,ETH,5m,1178,0.5020482884612375,45.24617996604414,0.6075443640853624,-365.92670911966366,-1.8451316040540653,0.3549247212044247,362.4943111761284,0
