sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,zec_score,zec_net_pnl,zec_pf,zec_n,zec_dd,zec_wr,sol_score,sol_net_pnl,sol_pf,sol_n,sol_dd,sol_wr,combined_score,combined_net,both_profitable,pnl_spread
80.0,0.15,"(0.3, 0.6)",False,97.5,23134.94,3.176,974,-305.0,0.6828,95.44,6236.84,2.523,359,-377.37,0.6435,96.47,29371.78,True,16898.1
70.0,0.09,"(0.3, 0.6)",False,98.59,26264.66,2.119,1677,-553.88,0.6249,94.33,9137.67,1.744,906,-503.65,0.5662,96.46000000000001,35402.33,True,17126.989999999998
60.0,0.15,"(0.3, 0.6)",False,96.59,23066.75,3.249,983,-279.06,0.6643,96.33,6647.18,2.847,362,-321.87,0.6326,96.46000000000001,29713.93,True,16419.57
120.0,0.15,"(0.2, 0.5)",True,96.41,19177.57,2.826,813,-555.23,0.7036,96.5,5970.73,2.889,290,-462.87,0.6931,96.455,25148.3,True,13206.84
70.0,0.12,"(0.3, 0.6)",False,97.53,25878.85,2.672,1290,-357.5,0.6574,95.38,7282.2,1.991,575,-656.87,0.6,96.455,33161.049999999996,True,18596.649999999998
60.0,0.09,"(0.3, 0.6)",False,97.81,27627.16,2.244,1706,-472.88,0.6166,95.09,9442.19,1.775,928,-387.89,0.5582,96.45,37069.35,True,18184.97
120.0,0.09,"(0.3, 0.6)",False,99.53,24483.63,1.992,1565,-750.18,0.6665,93.37,8625.58,1.697,830,-493.57,0.606,96.45,33109.21,True,15858.050000000001
80.0,0.12,"(0.3, 0.5)",True,96.79,24054.34,2.573,1225,-365.5,0.6645,96.11,6525.69,1.926,534,-378.0,0.6067,96.45,30580.03,True,17528.65
60.0,0.15,"(0.3, 0.5)",True,96.08,21637.99,3.122,950,-316.22,0.66,96.78,6414.23,3.006,337,-229.5,0.632,96.43,28052.22,True,15223.760000000002
65.0,0.12,"(0.3, 0.6)",False,96.91,26130.8,2.735,1294,-332.5,0.653,95.94,7726.7,2.108,579,-573.37,0.5993,96.425,33857.5,True,18404.1
100.0,0.15,"(0.3, 0.5)",False,96.89,23633.52,2.824,1056,-385.0,0.6828,95.91,6623.31,2.51,373,-349.87,0.6515,96.4,30256.83,True,17010.21
65.0,0.15,"(0.3, 0.5)",True,96.38,21482.33,3.075,945,-226.5,0.6624,96.39,6550.39,3.08,337,-217.5,0.638,96.38499999999999,28032.72,True,14931.940000000002
