symbol,entry_timing,sl_atr,tp_ladder,ratios,be_after_tp1,blofin_n,blofin_net,blofin_pf,blofin_dd,blofin_wr,blofin_oos_net,blofin_oos_pf,lighter_n,lighter_net,lighter_pf,lighter_dd,lighter_wr,lighter_oos_net,lighter_oos_pf,tp1_rate,tp3_rate
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",True,207,-2720.08,0.484,-2813.44,0.4396,-763.61,0.545,207,-857.3,0.8,-1174.32,0.4734,-196.58,0.858,0.473,0.029
ZEC-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",False,390,-4145.86,0.588,-4128.13,0.3436,-1366.16,0.578,390,-636.05,0.918,-1251.82,0.3436,-313.37,0.877,0.479,0.062
ZEC-USDT,retest,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.5, 0.0)",False,205,-2620.82,0.526,-2714.18,0.3415,-723.37,0.58,205,-776.19,0.82,-1079.49,0.3415,-165.34,0.879,0.473,0.044
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",True,373,-4917.41,0.538,-4901.04,0.3941,-1636.81,0.535,373,-1560.14,0.819,-1912.92,0.3941,-629.11,0.783,0.394,0.102
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",True,193,-3208.53,0.451,-3270.11,0.3731,-726.28,0.598,193,-1471.9,0.69,-1731.46,0.3731,-204.26,0.863,0.373,0.083
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",False,334,-4309.89,0.554,-4486.91,0.2725,-1609.73,0.5,334,-1303.38,0.831,-1913.65,0.3952,-700.9,0.734,0.395,0.147
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.25, 0.25)",False,180,-3122.49,0.442,-3229.42,0.2611,-749.75,0.567,180,-1502.74,0.667,-1807.62,0.3667,-254.79,0.821,0.367,0.133
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",True,373,-5126.78,0.519,-5120.59,0.3592,-1672.26,0.525,373,-1769.45,0.794,-2206.96,0.3941,-664.55,0.77,0.394,0.102
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",True,193,-3323.49,0.432,-3390.39,0.3472,-708.36,0.609,193,-1586.8,0.666,-1851.66,0.3731,-186.31,0.875,0.373,0.083
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",False,334,-4488.85,0.567,-4726.61,0.2455,-1683.23,0.51,334,-1482.21,0.817,-2210.59,0.2455,-774.33,0.719,0.395,0.147
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.34, 0.33, 0.33)",False,180,-3226.32,0.456,-3353.07,0.2389,-757.9,0.591,180,-1606.52,0.658,-1931.21,0.2389,-262.91,0.824,0.367,0.133
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.6, 0.2, 0.2)",True,373,-4786.55,0.55,-4763.83,0.3941,-1614.65,0.542,373,-1429.32,0.834,-1729.14,0.3941,-606.97,0.79,0.394,0.102
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.6, 0.2, 0.2)",True,193,-3136.68,0.463,-3194.93,0.3731,-737.47,0.592,193,-1400.09,0.705,-1656.33,0.3731,-215.48,0.856,0.373,0.083
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.6, 0.2, 0.2)",False,334,-4198.04,0.559,-4337.1,0.3802,-1563.78,0.511,334,-1191.61,0.845,-1728.07,0.3952,-655.01,0.751,0.395,0.147
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.6, 0.2, 0.2)",False,180,-3057.6,0.447,-3152.14,0.3667,-744.65,0.568,180,-1437.88,0.681,-1730.38,0.3667,-249.72,0.825,0.367,0.133
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(1.0, 0.0, 0.0)",True,402,-4421.32,0.611,-4366.54,0.398,-1641.48,0.566,402,-803.15,0.913,-1052.2,0.398,-552.75,0.822,0.398,0.002
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(1.0, 0.0, 0.0)",True,207,-2696.1,0.556,-2908.77,0.3913,-772.93,0.599,207,-833.58,0.831,-1271.23,0.3913,-205.96,0.871,0.391,0.0
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(1.0, 0.0, 0.0)",False,402,-4421.32,0.611,-4366.54,0.398,-1641.48,0.566,402,-803.15,0.913,-1052.2,0.398,-552.75,0.822,0.398,0.002
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(1.0, 0.0, 0.0)",False,207,-2696.1,0.556,-2908.77,0.3913,-772.93,0.599,207,-833.58,0.831,-1271.23,0.3913,-205.96,0.871,0.391,0.0
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.5, 0.0)",True,385,-4439.68,0.588,-4383.96,0.4026,-1473.4,0.587,385,-974.19,0.888,-1448.48,0.4026,-429.61,0.853,0.403,0.016
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.5, 0.0)",True,201,-2807.11,0.534,-3110.51,0.3781,-818.92,0.583,201,-998.58,0.796,-1517.81,0.3781,-269.88,0.833,0.378,0.005
ZEC-USDT,signal,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.5, 0.0)",False,370,-3918.04,0.627,-3938.96,0.2811,-1463.64,0.575,370,-587.59,0.93,-1297.88,0.3973,-464.84,0.834,0.397,0.019
ZEC-USDT,retest,1.0,"(1.5, 3.0, 5.0)","(0.5, 0.5, 0.0)",False,196,-2850.58,0.523,-3139.07,0.2704,-881.61,0.541,196,-1086.86,0.774,-1591.18,0.3724,-350.51,0.778,0.372,0.005
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.25, 0.25)",True,405,-4440.41,0.422,-4382.85,0.4395,-1758.34,0.369,405,-795.74,0.867,-1059.53,0.6049,-660.51,0.707,0.605,0.252
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.25, 0.25)",True,208,-2986.69,0.309,-3042.93,0.4135,-1046.12,0.306,208,-1114.72,0.673,-1310.44,0.5817,-479.05,0.611,0.582,0.212
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.25, 0.25)",False,390,-4823.5,0.425,-4765.93,0.3821,-1730.95,0.397,390,-1313.69,0.797,-1545.29,0.4795,-678.1,0.705,0.59,0.344
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.25, 0.25)",False,205,-2907.48,0.375,-2963.72,0.3805,-928.18,0.394,205,-1062.7,0.707,-1285.39,0.4732,-370.16,0.702,0.58,0.341
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.34, 0.33, 0.33)",True,405,-4135.59,0.477,-4078.02,0.4123,-1644.58,0.422,405,-490.97,0.918,-820.53,0.5975,-546.78,0.758,0.605,0.252
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.34, 0.33, 0.33)",True,208,-2911.22,0.345,-2979.34,0.375,-1004.51,0.348,208,-1039.26,0.695,-1252.14,0.5817,-437.43,0.645,0.582,0.212
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.34, 0.33, 0.33)",False,390,-4606.65,0.482,-4557.23,0.3436,-1614.22,0.459,390,-1096.85,0.839,-1408.68,0.4795,-561.38,0.763,0.59,0.344
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.34, 0.33, 0.33)",False,205,-2815.75,0.428,-2883.87,0.3415,-862.64,0.457,205,-971.01,0.746,-1219.5,0.4732,-304.62,0.762,0.58,0.341
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.6, 0.2, 0.2)",True,405,-4630.92,0.389,-4573.36,0.4889,-1829.44,0.338,405,-986.23,0.836,-1208.91,0.6049,-731.59,0.676,0.605,0.252
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.6, 0.2, 0.2)",True,208,-3033.85,0.289,-3082.67,0.4567,-1072.13,0.283,208,-1161.88,0.659,-1346.88,0.5817,-505.06,0.59,0.582,0.212
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.6, 0.2, 0.2)",False,390,-4959.03,0.388,-4901.46,0.4128,-1803.91,0.359,390,-1449.22,0.767,-1633.96,0.4795,-751.04,0.667,0.59,0.344
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.6, 0.2, 0.2)",False,205,-2964.81,0.342,-3013.63,0.4,-969.15,0.355,205,-1120.0,0.68,-1326.57,0.4732,-411.13,0.663,0.58,0.341
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(1.0, 0.0, 0.0)",True,428,-5603.31,0.283,-5545.74,0.5888,-2317.38,0.222,428,-1751.56,0.722,-1877.62,0.6098,-1156.38,0.526,0.61,0.082
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(1.0, 0.0, 0.0)",True,211,-3199.6,0.237,-3230.21,0.5782,-1172.17,0.211,211,-1300.64,0.619,-1450.26,0.5877,-596.12,0.517,0.588,0.043
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(1.0, 0.0, 0.0)",False,428,-5603.31,0.283,-5545.74,0.5888,-2317.38,0.222,428,-1751.56,0.722,-1877.62,0.6098,-1156.38,0.526,0.61,0.082
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(1.0, 0.0, 0.0)",False,211,-3199.6,0.237,-3230.21,0.5782,-1172.17,0.211,211,-1300.64,0.619,-1450.26,0.5877,-596.12,0.517,0.588,0.043
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.5, 0.0)",True,414,-4695.48,0.392,-4637.91,0.4541,-1938.16,0.325,414,-969.82,0.839,-1118.56,0.6111,-813.35,0.65,0.611,0.094
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.5, 0.0)",True,210,-2986.61,0.309,-3026.18,0.4238,-1021.28,0.302,210,-1096.65,0.679,-1265.26,0.5857,-454.26,0.621,0.586,0.062
ZEC-USDT,signal,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.5, 0.0)",False,411,-4968.25,0.411,-4910.68,0.4915,-1907.58,0.369,411,-1269.52,0.806,-1286.6,0.4915,-791.79,0.675,0.608,0.105
ZEC-USDT,retest,1.0,"(0.5, 1.0, 2.0)","(0.5, 0.5, 0.0)",False,209,-2984.99,0.356,-3022.67,0.4785,-956.46,0.371,209,-1104.12,0.698,-1258.83,0.4785,-389.48,0.686,0.584,0.067
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",True,386,-4821.29,0.485,-4789.42,0.5026,-1618.9,0.484,386,-1347.31,0.83,-1849.19,0.6166,-574.99,0.788,0.617,0.181
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",True,199,-3015.26,0.421,-3185.98,0.4874,-1311.5,0.343,199,-1224.05,0.724,-1610.72,0.598,-771.51,0.556,0.598,0.186
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",False,349,-4548.31,0.528,-4520.11,0.4384,-1710.41,0.476,349,-1407.16,0.823,-1830.61,0.4699,-765.49,0.722,0.607,0.324
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",False,181,-3029.83,0.455,-3209.92,0.4254,-1325.62,0.358,181,-1400.64,0.699,-1788.99,0.442,-830.78,0.533,0.58,0.331
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",True,386,-4686.56,0.512,-4680.15,0.4171,-1557.8,0.513,386,-1212.56,0.847,-1822.58,0.6166,-513.92,0.81,0.617,0.181
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",True,199,-2970.82,0.442,-3203.41,0.407,-1279.39,0.37,199,-1179.62,0.734,-1628.12,0.598,-739.37,0.574,0.598,0.186
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",False,349,-4429.01,0.571,-4465.09,0.3582,-1708.88,0.51,349,-1287.82,0.849,-1858.9,0.4699,-763.99,0.742,0.607,0.324
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",False,181,-2996.45,0.496,-3208.01,0.3591,-1294.14,0.394,181,-1367.27,0.727,-1854.96,0.442,-799.29,0.567,0.58,0.331
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",True,386,-4905.49,0.473,-4857.93,0.5803,-1657.09,0.47,386,-1431.53,0.82,-1866.81,0.6166,-613.16,0.774,0.617,0.181
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",True,199,-3043.02,0.412,-3181.0,0.5628,-1331.57,0.331,199,-1251.82,0.718,-1599.84,0.598,-791.6,0.544,0.598,0.186
