symbol,entry_timing,sl_atr,tp_ladder,ratios,be_after_tp1,blofin_n,blofin_net,blofin_pf,blofin_dd,blofin_wr,blofin_oos_net,blofin_oos_pf,lighter_n,lighter_net,lighter_pf,lighter_dd,lighter_wr,lighter_oos_net,lighter_oos_pf,tp1_rate,tp3_rate
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,415,-4995.21,0.188,-5026.66,0.3157,-1449.53,0.19,415,-1260.16,0.689,-1431.82,0.6169,-324.73,0.723,0.629,0.041
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,113,-1168.1,0.274,-1164.72,0.3982,-384.76,0.233,113,-150.97,0.865,-216.72,0.6637,-78.73,0.768,0.673,0.009
SOL-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,408,-4887.19,0.237,-4920.06,0.4461,-1493.21,0.211,408,-1215.01,0.73,-1402.95,0.4853,-386.4,0.707,0.625,0.047
SOL-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,113,-1094.51,0.349,-1091.12,0.531,-359.0,0.33,113,-77.43,0.937,-187.2,0.5575,-53.04,0.861,0.673,0.018
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,400,-4777.69,0.262,-4856.95,0.335,-1295.36,0.291,400,-1177.51,0.739,-1431.76,0.5675,-215.39,0.827,0.57,0.22
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,111,-1132.31,0.348,-1150.65,0.3604,-419.2,0.281,111,-133.29,0.893,-327.4,0.6216,-113.24,0.732,0.622,0.225
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,347,-3986.09,0.33,-4060.89,0.3631,-1213.73,0.312,347,-862.93,0.792,-1098.41,0.4438,-268.84,0.776,0.585,0.337
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,106,-990.77,0.446,-1009.1,0.3962,-359.05,0.405,106,-36.76,0.971,-219.32,0.4623,-71.1,0.834,0.632,0.358
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,400,-4791.56,0.289,-4890.09,0.3,-1292.98,0.326,400,-1191.37,0.737,-1454.66,0.545,-212.99,0.829,0.57,0.22
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,111,-1135.53,0.38,-1163.78,0.3333,-426.55,0.305,111,-136.53,0.891,-364.26,0.6036,-120.6,0.714,0.622,0.225
SOL-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,347,-3989.46,0.37,-4085.71,0.3545,-1238.95,0.347,347,-866.31,0.806,-1126.38,0.4438,-294.06,0.777,0.585,0.337
SOL-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,106,-977.77,0.492,-1006.02,0.3679,-352.92,0.451,106,-23.78,0.983,-252.48,0.4623,-64.99,0.859,0.632,0.358
