symbol,action,signal_price,created_at,status,filled_at,fill_price,era
ZEC-USDT,buy,358.9,2026-04-15 13:58:35.628695+00:00,filled,2026-04-15 14:08:01.836511+00:00,357.39,v1
SOL-USDT,buy,83.61,2026-04-15 14:15:04.684746+00:00,filled,2026-04-15 14:39:07.238154+00:00,83.83,v1
ZEC-USDT,sell,353.36,2026-04-15 15:06:34.468398+00:00,cancelled,,,v1
ZEC-USDT,sell,353.3,2026-04-15 15:23:34.005480+00:00,expired,,,v1
SOL-USDT,sell,83.5,2026-04-15 15:31:05.849622+00:00,filled,2026-04-15 15:46:29.934099+00:00,83.97,v1
ZEC-USDT,buy,356.3,2026-04-15 17:04:36.202995+00:00,filled,2026-04-15 17:30:53.561782+00:00,355.61,v1
SOL-USDT,buy,84.9,2026-04-15 17:08:01.654225+00:00,filled,2026-04-15 17:17:40.217869+00:00,84.58,v1
ZEC-USDT,sell,353.81,2026-04-15 17:45:33.920522+00:00,filled,2026-04-15 18:02:08.850567+00:00,354.62,v1
ZEC-USDT,buy,356.02,2026-04-15 19:10:36.017297+00:00,filled,2026-04-15 19:19:47.932017+00:00,355.2,v1
ZEC-USDT,buy,356.1,2026-04-15 19:30:35.949485+00:00,filled,2026-04-15 19:55:23.454467+00:00,357.32,v1
SOL-USDT,sell,84.99,2026-04-15 20:09:03.466051+00:00,expired,,,v1
ZEC-USDT,sell,347.61,2026-04-15 20:39:34.257807+00:00,filled,2026-04-15 21:02:49.320792+00:00,348.78,v1
SOL-USDT,sell,84.5,2026-04-15 21:10:03.479443+00:00,filled,2026-04-15 21:39:15.756205+00:00,84.55,v1
SOL-USDT,buy,85.13,2026-04-15 22:05:01.540295+00:00,filled,2026-04-15 22:19:22.187581+00:00,84.93,v1
ZEC-USDT,buy,352.57,2026-04-15 22:39:35.591205+00:00,filled,2026-04-15 22:56:00.166155+00:00,349.5,v1
SOL-USDT,sell,84.5,2026-04-16 00:27:04.164656+00:00,filled,2026-04-16 00:30:11.300216+00:00,84.71,v1
ZEC-USDT,buy,348.59,2026-04-16 00:32:35.666783+00:00,filled,2026-04-16 00:42:46.607394+00:00,346.57,v1
ZEC-USDT,sell,345.22,2026-04-16 00:49:33.954124+00:00,expired,,,v1
SOL-USDT,sell,84.53,2026-04-16 01:06:03.710066+00:00,expired,,,v1
ZEC-USDT,buy,341.6,2026-04-16 05:26:36.219161+00:00,expired,,,v1
SOL-USDT,sell,85.1,2026-04-16 07:55:05.092731+00:00,filled,2026-04-16 08:21:37.518826+00:00,85.2,v1
ZEC-USDT,sell,339.06,2026-04-16 08:10:04.113393+00:00,cancelled,,,v1
ZEC-USDT,sell,338.92,2026-04-16 08:18:33.949209+00:00,cancelled,,,v1
ZEC-USDT,sell,339.25,2026-04-16 08:39:33.926538+00:00,filled,2026-04-16 08:44:55.277607+00:00,340.23,v1
SOL-USDT,buy,85.37,2026-04-16 09:17:01.842926+00:00,expired,,,v1
ZEC-USDT,buy,342.49,2026-04-16 09:34:36.483391+00:00,expired,,,v1
SOL-USDT,sell,84.71,2026-04-16 10:19:03.833176+00:00,filled,2026-04-16 10:24:45.263573+00:00,84.99,v1
ZEC-USDT,sell,343.66,2026-04-16 11:35:34.238446+00:00,filled,2026-04-16 12:01:43.332079+00:00,344.04,v1
