min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,35,45,40,60,65,52.5,479,304,175,0.6347,1506.33,10239.23,8732.9,1.172,33.68,-49.9,3.145,-818.27,-40.91,11,-462.15,1601.27,1.276,-94.95,0.968,144,479,324,155,0.6764,5818.54,13130.72,7312.19,1.796,40.53,-47.18,12.147,-454.98,-22.75,9,-360.5,4616.85,1.957,1201.69,1.483,144,88.91,40.54
0.12,"(0.3, 0.6)",True,80,35,45,40,75,80,35.0,486,329,157,0.677,2479.96,11361.87,8881.91,1.279,34.53,-56.57,5.103,-602.22,-30.11,9,-441.4,2174.55,1.365,305.41,1.104,146,486,329,157,0.677,6855.43,14324.16,7468.73,1.918,43.54,-47.57,14.106,-406.51,-20.33,9,-360.5,5235.49,2.05,1619.94,1.652,146,93.52,58.76
0.12,"(0.3, 0.6)",True,80,35,45,40,75,80,52.5,485,328,157,0.6763,2054.98,10936.9,8881.91,1.231,33.34,-56.57,4.237,-681.84,-34.09,9,-441.4,1840.85,1.309,214.13,1.073,146,485,328,157,0.6763,6421.23,13889.96,7468.73,1.86,42.35,-47.57,13.24,-432.96,-21.65,9,-360.5,4892.59,1.981,1528.64,1.616,146,92.4,53.52
0.12,"(0.3, 0.6)",True,80,35,55,40,70,75,35.0,482,279,203,0.5788,1288.93,10791.82,9502.9,1.136,38.68,-46.81,2.674,-788.34,-39.42,10,-454.9,1392.5,1.22,-103.58,0.967,145,482,279,203,0.5788,5628.23,13303.96,7675.73,1.733,47.68,-37.81,11.677,-443.0,-22.15,10,-365.0,4426.34,1.875,1201.89,1.459,145,88.11,38.05
0.12,"(0.3, 0.6)",True,80,35,55,40,70,75,52.5,480,277,203,0.5771,849.84,10352.73,9502.9,1.089,37.37,-46.81,1.77,-1007.17,-50.36,10,-454.9,1060.94,1.167,-211.1,0.933,144,480,277,203,0.5771,5171.17,12846.9,7675.73,1.674,46.38,-37.81,10.773,-471.11,-23.56,10,-365.0,4085.68,1.808,1085.49,1.415,144,86.56,29.18
0.12,"(0.3, 0.6)",True,80,35,55,40,85,90,35.0,482,279,203,0.5788,1235.76,10738.66,9502.9,1.13,38.49,-46.81,2.564,-789.69,-39.48,10,-454.9,1336.12,1.211,-100.35,0.968,145,482,279,203,0.5788,5575.13,13250.86,7675.73,1.726,47.49,-37.81,11.567,-443.0,-22.15,10,-365.0,4369.97,1.864,1205.17,1.461,145,88.14,37.39
0.12,"(0.3, 0.6)",True,80,35,55,40,85,90,52.5,481,278,203,0.578,1023.1,10525.99,9502.9,1.108,37.86,-46.81,2.127,-913.39,-45.67,10,-454.9,1160.46,1.183,-137.37,0.957,145,481,278,203,0.578,5353.39,13029.12,7675.73,1.697,46.87,-37.81,11.13,-445.28,-22.26,10,-365.0,4185.24,1.827,1168.15,1.446,145,87.66,33.35
0.12,"(0.3, 0.6)",True,80,35,65,40,80,85,35.0,478,237,241,0.4958,755.47,10851.33,10095.86,1.075,45.79,-41.89,1.58,-885.52,-44.28,15,-682.4,916.75,1.134,-161.28,0.95,144,478,237,241,0.4958,5058.61,12985.34,7926.73,1.638,54.79,-32.89,10.583,-547.5,-27.38,15,-547.5,3923.43,1.735,1135.18,1.439,144,86.64,28.56
0.12,"(0.3, 0.6)",True,80,35,65,40,80,85,52.5,476,237,239,0.4979,178.13,10167.04,9988.91,1.018,42.9,-41.79,0.374,-1049.96,-52.5,15,-682.4,376.27,1.056,-198.14,0.938,143,476,237,239,0.4979,4463.18,12300.91,7837.73,1.569,51.9,-32.79,9.376,-565.46,-28.27,15,-547.5,3373.88,1.642,1089.3,1.422,143,83.7,16.25
0.12,"(0.3, 0.6)",True,80,35,65,40,95,100,35.0,478,237,241,0.4958,464.45,10560.31,10095.86,1.046,44.56,-41.89,0.972,-993.65,-49.68,15,-682.4,698.22,1.102,-233.77,0.928,144,478,237,241,0.4958,4767.59,12694.32,7926.73,1.601,53.56,-32.89,9.974,-547.5,-27.38,15,-547.5,3704.88,1.694,1062.71,1.411,144,84.57,18.24
