sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,zec_lighter_net,zec_lighter_pf,zec_lighter_dd,zec_lighter_n,zec_blofin_net,zec_blofin_pf,sol_lighter_net,sol_lighter_pf,sol_lighter_dd,sol_lighter_n,sol_blofin_net,sol_blofin_pf,combined_lighter_net,combined_blofin_net,both_profitable,zec_lift,sol_lift,combined_lift,score
120,15,45,20,60,65,22.5,25397.69,4.437,-294.63,1133,15199.95,2.286,7065.76,2.745,-317.07,514,2439.09,1.383,32463.449999999997,17639.04,True,4597.0,648.1800000000003,5245.18,72.52045000000001
100,15,45,20,75,80,22.5,26296.75,4.796,-216.21,1135,16080.47,2.41,6653.62,2.628,-265.6,516,2008.86,1.311,32950.37,18089.329999999998,True,5496.060000000001,236.03999999999996,5732.100000000001,72.51513666666666
140,15,45,20,60,65,22.5,25312.35,4.449,-340.24,1128,15159.68,2.29,6746.28,2.561,-367.6,511,2146.63,1.324,32058.629999999997,17306.31,True,4511.66,328.6999999999998,4840.36,72.50369666666667
140,15,45,20,75,80,22.5,25676.36,4.5,-317.15,1127,15532.37,2.32,6419.99,2.487,-390.1,509,1838.45,1.277,32096.35,17370.82,True,4875.670000000002,2.4099999999998545,4878.080000000002,72.45885000000001
80,25,35,30,65,70,25.0,27414.69,3.733,-361.0,1122,17315.52,2.392,7228.43,2.302,-258.0,509,2646.3,1.377,34643.119999999995,19961.82,True,6614.0,810.8500000000004,7424.85,70.94978666666665
80,25,35,30,50,55,25.0,27212.8,3.713,-356.27,1122,17113.7,2.375,7323.3,2.319,-258.0,509,2741.13,1.391,34536.1,19854.83,True,6412.110000000001,905.7200000000003,7317.830000000001,70.78546666666666
120,25,35,30,65,70,25.0,25413.69,3.177,-443.86,1096,15548.37,2.118,7600.62,2.429,-319.21,493,3162.81,1.479,33014.31,18711.18,True,4613.0,1183.04,5796.04,69.33167666666667
100,25,35,30,65,70,25.0,26248.77,3.442,-303.86,1103,16320.23,2.251,7211.93,2.289,-365.42,501,2701.94,1.387,33460.7,19022.17,True,5448.080000000002,794.3500000000004,6242.430000000002,69.25683333333333
140,25,35,30,65,70,25.0,24945.76,3.079,-583.86,1084,15188.69,2.073,6937.65,2.178,-385.42,488,2544.82,1.356,31883.409999999996,17733.510000000002,True,4145.07,520.0699999999997,4665.139999999999,69.09954333333333
120,25,35,30,50,55,25.0,25228.55,3.161,-420.57,1096,15363.31,2.105,7675.8,2.443,-319.21,493,3237.95,1.491,32904.35,18601.26,True,4427.860000000001,1258.2200000000003,5686.080000000001,68.98215
100,25,35,30,50,55,25.0,26061.09,3.425,-286.83,1103,16132.63,2.237,7293.73,2.304,-365.42,501,2783.71,1.399,33354.82,18916.34,True,5260.4000000000015,876.1499999999996,6136.550000000001,68.97398666666666
140,25,35,30,50,55,25.0,24791.84,3.066,-560.57,1084,15034.84,2.062,7002.19,2.189,-385.42,488,2609.33,1.365,31794.03,17644.17,True,3991.1500000000015,584.6099999999997,4575.760000000001,68.77059666666666
120,45,55,50,85,90,45.0,20054.3,1.952,-896.83,990,11144.03,1.472,6681.72,1.663,-954.3,442,2702.22,1.24,26736.02,13846.25,True,-746.3899999999994,264.1400000000003,-482.2499999999991,67.29732
120,45,55,50,85,90,67.5,19211.65,1.906,-974.19,989,10310.64,1.434,6830.92,1.678,-954.3,442,2851.32,1.253,26042.57,13161.96,True,-1589.0399999999972,413.34000000000015,-1175.699999999997,67.27413666666666
120,45,55,50,70,75,67.5,18037.77,1.861,-1108.04,979,9226.56,1.389,6997.26,1.694,-988.15,438,3053.1,1.269,25035.03,12279.66,True,-2762.9199999999983,579.6800000000003,-2183.239999999998,66.88503
80,25,35,30,65,70,37.5,24980.26,3.49,-361.0,1122,14881.13,2.196,6565.94,2.182,-276.73,509,1983.82,1.282,31546.199999999997,16864.95,True,4179.57,148.35999999999967,4327.929999999999,66.83016666666667
80,25,35,30,50,55,37.5,24744.01,3.488,-364.14,1121,14653.89,2.183,6408.91,2.171,-276.73,507,1844.94,1.266,31152.92,16498.829999999998,True,3943.3199999999997,-8.670000000000073,3934.6499999999996,66.42495333333333
120,45,55,50,70,75,45.0,18856.31,1.895,-931.01,988,9964.07,1.422,6415.98,1.644,-965.9,440,2454.47,1.22,25272.29,12418.539999999999,True,-1944.3799999999974,-1.6000000000003638,-1945.9799999999977,66.03805666666666
80,25,45,30,60,65,25.0,25030.87,3.37,-371.0,1118,14967.8,2.057,6304.2,2.084,-279.1,509,1721.79,1.22,31335.07,16689.59,True,4230.18,-113.38000000000011,4116.8,66.01607
100,25,35,30,65,70,37.5,23789.94,3.214,-334.68,1103,13861.44,2.063,6543.19,2.17,-396.73,501,2033.22,1.291,30333.129999999997,15894.66,True,2989.25,125.60999999999967,3114.8599999999997,65.59389666666667
120,25,35,30,65,70,37.5,22951.27,2.966,-474.68,1096,13085.99,1.941,6942.42,2.305,-335.38,493,2504.61,1.38,29893.690000000002,15590.6,True,2150.5800000000017,524.8400000000001,2675.420000000002,65.56429
