min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,25,55,30,85,90,37.5,1111,621,490,0.559,11793.87,27248.76,15454.9,1.763,43.88,-31.54,10.616,-470.8,-23.54,8,-294.15,9042.43,1.842,2751.44,1.583,334,1111,621,490,0.559,21794.1,32839.1,11045.0,2.973,52.88,-22.54,19.617,-376.0,-18.8,8,-258.0,16036.33,3.079,5757.77,2.728,334,97.44,90.41
0.12,"(0.3, 0.6)",True,80,35,45,40,60,65,35.0,1086,772,314,0.7109,13906.25,31464.96,17558.72,1.792,40.76,-55.92,12.805,-441.98,-22.1,4,-294.15,10080.18,1.822,3826.07,1.722,326,1086,772,314,0.7109,23681.52,38414.52,14733.0,2.607,49.76,-46.92,21.806,-356.0,-17.8,4,-258.0,16920.91,2.643,6760.61,2.525,326,98.88,93.86
0.12,"(0.3, 0.6)",True,80,35,45,40,60,65,52.5,1081,735,346,0.6799,12500.22,29899.53,17399.31,1.718,40.68,-50.29,11.564,-520.99,-26.05,5,-294.15,8950.88,1.741,3549.33,1.668,325,1081,770,311,0.7123,22230.87,36790.37,14559.5,2.527,47.78,-46.82,20.565,-356.0,-17.8,4,-258.0,15755.72,2.556,6475.15,2.461,325,99.26,92.87
0.12,"(0.3, 0.6)",True,80,35,45,40,75,80,35.0,1089,773,316,0.7098,14070.97,31656.68,17585.72,1.8,40.95,-55.65,12.921,-441.98,-22.1,4,-294.15,10154.13,1.826,3916.83,1.74,327,1089,773,316,0.7098,23873.2,38615.2,14742.0,2.619,49.95,-46.65,21.922,-356.0,-17.8,4,-258.0,17012.9,2.65,6860.3,2.548,327,99.01,94.24
0.12,"(0.3, 0.6)",True,80,35,45,40,75,80,52.5,1086,771,315,0.7099,12411.93,29984.15,17572.22,1.706,38.89,-55.78,11.429,-477.65,-23.88,4,-294.15,9260.67,1.754,3151.26,1.595,326,1086,771,315,0.7099,22186.94,36924.44,14737.5,2.505,47.89,-46.79,20.43,-356.0,-17.8,4,-258.0,16101.35,2.562,6085.59,2.373,326,98.13,90.66
0.12,"(0.3, 0.6)",True,80,35,55,40,70,75,35.0,1085,666,419,0.6138,11831.15,30807.35,18976.2,1.623,46.26,-45.29,10.904,-548.87,-27.44,8,-427.89,8600.91,1.649,3230.24,1.564,326,1085,666,419,0.6138,21597.46,36802.96,15205.5,2.42,55.26,-36.29,19.905,-423.0,-21.15,8,-356.0,15432.88,2.452,6164.58,2.347,326,98.83,90.2
0.12,"(0.3, 0.6)",True,80,35,55,40,70,75,52.5,1081,658,423,0.6087,10419.62,29313.63,18894.01,1.551,44.55,-44.67,9.639,-562.06,-28.1,8,-427.89,7757.51,1.589,2662.12,1.464,325,1081,663,418,0.6133,20149.66,35270.66,15121.0,2.333,53.2,-36.17,18.64,-423.0,-21.15,8,-356.0,14562.11,2.381,5587.55,2.221,325,98.28,87.51
0.12,"(0.3, 0.6)",True,80,35,55,40,85,90,35.0,1085,666,419,0.6138,11617.02,30593.22,18976.2,1.612,45.94,-45.29,10.707,-549.39,-27.47,8,-427.89,8454.7,1.638,3162.32,1.552,326,1085,666,419,0.6138,21383.37,36588.87,15205.5,2.406,54.94,-36.29,19.708,-423.0,-21.15,8,-356.0,15286.74,2.438,6096.63,2.332,326,98.81,89.91
0.12,"(0.3, 0.6)",True,80,35,55,40,85,90,52.5,1085,666,419,0.6138,10361.62,29337.82,18976.2,1.546,44.05,-45.29,9.55,-549.39,-27.47,8,-427.89,7758.74,1.586,2602.88,1.454,326,1085,666,419,0.6138,20127.76,35333.26,15205.5,2.324,53.05,-36.29,18.551,-423.0,-21.15,8,-356.0,14590.49,2.373,5537.27,2.21,326,98.13,87.14
0.12,"(0.3, 0.6)",True,80,35,65,40,80,85,35.0,1073,590,483,0.5499,12098.03,31618.11,19520.09,1.62,53.59,-40.41,11.275,-588.85,-29.44,8,-427.89,8762.71,1.64,3335.32,1.571,322,1073,590,483,0.5499,21756.47,36929.97,15173.5,2.434,62.59,-31.42,20.276,-463.0,-23.15,8,-356.0,15522.66,2.455,6233.81,2.383,322,98.89,90.29
0.12,"(0.3, 0.6)",True,80,35,65,40,80,85,52.5,1068,587,481,0.5496,9858.38,29351.48,19493.09,1.506,50.0,-40.53,9.231,-599.05,-29.95,8,-427.89,7558.42,1.554,2299.96,1.394,321,1068,587,481,0.5496,19471.53,34636.03,15164.5,2.284,59.01,-31.53,18.232,-463.0,-23.15,8,-356.0,14282.08,2.34,5189.45,2.152,321,97.53,85.07
0.12,"(0.3, 0.6)",True,80,35,65,40,95,100,35.0,1071,589,482,0.55,11369.23,30875.82,19506.59,1.583,52.42,-40.47,10.616,-589.37,-29.47,8,-427.89,8128.47,1.595,3240.76,1.555,322,1071,589,482,0.55,21009.66,36178.66,15169.0,2.385,61.42,-31.47,19.617,-463.0,-23.15,8,-356.0,14870.45,2.395,6139.21,2.362,322,99.26,90.14
0.12,"(0.3, 0.6)",True,80,35,65,40,95,100,52.5,1071,589,482,0.55,10082.5,29589.08,19506.59,1.517,50.24,-40.47,9.414,-665.01,-33.25,8,-427.89,7534.24,1.551,2548.26,1.437,322,1071,589,482,0.55,19722.56,34891.56,15169.0,2.3,59.24,-31.47,18.415,-463.0,-23.15,8,-356.0,14275.83,2.339,5446.72,2.209,322,98.18,86.53
